date, symbol, under, expiration, strike, put/call, bid, ask, price, volume, open interest, implied vol, delta, gamma, rho, theta, vega, nonstd
2015-01-05,SPY7  150109P00208000,SPY,2015-01-09,208,P,0,0,0,0,0,0.113826,-0.994869,0.00615603,-0.0226815,-0.00443852,0.00312469,104
2015-01-05,SPY7  150109P00209000,SPY,2015-01-09,209,P,4.85,9.6,3.15,0,2,0.113826,-0.998508,0.00202032,-0.0228712,-0.00145177,0.00102548,104
2015-01-05,SPY7  150109P00210000,SPY,2015-01-09,210,P,0,0,0,0,0,0.113826,-0.999624,0.00056754,-0.0230054,-0.00040259,0.00028807,104
2015-01-05,SPY7  150109P00211000,SPY,2015-01-09,211,P,0,0,0,0,0,0.113826,-0.999918,0.00013677,-0.0231215,-9.15e-05,6.942e-05,104
2015-01-05,SPY7  150109P00212000,SPY,2015-01-09,212,P,0,0,0,0,0,0.113826,-0.999985,2.834e-05,-0.0232325,-1.32e-05,1.438e-05,104
2015-01-05,SPY7  150109P00212500,SPY,2015-01-09,212.5,P,0,0,0,0,0,0.113826,-0.999994,1.22e-05,-0.0232875,-1.54e-06,6.19e-06,104
2015-01-05,SPY7  150109P00213000,SPY,2015-01-09,213,P,0,0,0,0,0,0.113826,-0.999998,5.06e-06,-0.0233424,3.61e-06,2.57e-06,104
2015-01-05,SPY7  150109P00214000,SPY,2015-01-09,214,P,0,0,0,0,0,0.113826,-1,7.8e-07,-0.023452,6.7e-06,4e-07,104
2015-01-05,SPY7  150109P00215000,SPY,2015-01-09,215,P,0,0,0,0,0,0.113826,-1,1e-07,-0.0235616,7.19e-06,5e-08,104
2015-01-05,SPY7  150109P00217500,SPY,2015-01-09,217.5,P,0,0,0,0,0,0.113826,-1,0,-0.0238356,7.27e-06,0,104
2015-01-05,SPY7  150109P00220000,SPY,2015-01-09,220,P,0,0,0,0,0,0.113826,-1,0,-0.0241096,7.27e-06,0,104
2015-01-05,SPY7  150109P00222500,SPY,2015-01-09,222.5,P,0,0,0,0,0,0.113826,-1,0,-0.0243836,7.27e-06,0,104
2015-01-05,SPY7  150109P00225000,SPY,2015-01-09,225,P,0,0,0,0,0,0.113826,-1,0,-0.0246575,7.27e-06,0,104
2015-01-05,SPY7  150109P00227500,SPY,2015-01-09,227.5,P,0,0,0,0,0,0.113826,-1,0,-0.0249315,7.27e-06,0,104
2015-01-05,SPY7  150109P00230000,SPY,2015-01-09,230,P,0,0,0,0,0,0.113826,-1,0,-0.0252055,7.27e-06,0,104
2015-01-05,SPY7  150109P00232500,SPY,2015-01-09,232.5,P,0,0,0,0,0,0.113826,-1,0,-0.0254795,7.27e-06,0,104
2015-01-05,SPY7  150109P00235000,SPY,2015-01-09,235,P,0,0,0,0,0,0.113826,-1,0,-0.0257534,7.27e-06,0,104
2015-01-05,SPY7  150109P00237500,SPY,2015-01-09,237.5,P,0,0,0,0,0,0.113826,-1,0,-0.0260274,7.27e-06,0,104
2015-01-05,SPY7  150109P00240000,SPY,2015-01-09,240,P,0,0,0,0,0,0.113826,-1,0,-0.0263014,7.27e-06,0,104
2015-01-05,SPY7  150109P00242500,SPY,2015-01-09,242.5,P,0,0,0,0,0,0.113826,-1,0,-0.0265753,7.27e-06,0,104
2015-01-05,SPY7  150109P00245000,SPY,2015-01-09,245,P,0,0,0,0,0,0.113826,-1,0,-0.0268493,7.27e-06,0,104
2015-01-05,SPY7  150109P00247500,SPY,2015-01-09,247.5,P,0,0,0,0,0,0.113826,-1,0,-0.0271233,7.27e-06,0,104
2015-01-05,SPY7  150109P00250000,SPY,2015-01-09,250,P,0,0,0,0,0,0.113826,-1,0,-0.0273973,7.27e-06,0,104
2015-01-05,SPY7  150109P00252500,SPY,2015-01-09,252.5,P,0,0,0,0,0,0.113826,-1,0,-0.0276712,7.27e-06,0,104
2015-01-05,SPY7  150109P00255000,SPY,2015-01-09,255,P,0,0,0,0,0,0.113826,-1,0,-0.0279452,7.27e-06,0,104
2015-01-05,SPY7  150109P00257500,SPY,2015-01-09,257.5,P,0,0,0,0,0,0.113826,-1,0,-0.0282192,7.27e-06,0,104
2015-01-05,SPY7  150109P00260000,SPY,2015-01-09,260,P,0,0,0,0,0,0.113826,-1,0,-0.0284931,7.27e-06,0,104
2015-01-05,SPY7  150117C00120000,SPY,2015-01-17,120,C,79.5,84.19,77.14,0,27,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00125000,SPY,2015-01-17,125,C,74.45,79.19,34.7,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00130000,SPY,2015-01-17,130,C,69.5,74.19,67.6,0,5,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00131000,SPY,2015-01-17,131,C,68.45,73.19,39,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00132000,SPY,2015-01-17,132,C,67.5,72.19,32.35,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00133000,SPY,2015-01-17,133,C,66.5,71.18,43.7,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00134000,SPY,2015-01-17,134,C,65.45,70.2,30,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00135000,SPY,2015-01-17,135,C,64.5,69.16,30.61,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00136000,SPY,2015-01-17,136,C,63.5,68.2,61.18,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00137000,SPY,2015-01-17,137,C,62.5,67.2,29.17,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00138000,SPY,2015-01-17,138,C,61.5,66.16,32,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00139000,SPY,2015-01-17,139,C,60.5,65.18,58,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00140000,SPY,2015-01-17,140,C,59.5,64.2,45.36,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00141000,SPY,2015-01-17,141,C,58.5,63.2,56,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00142000,SPY,2015-01-17,142,C,57.5,62.2,55,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00143000,SPY,2015-01-17,143,C,56.5,61.17,53.25,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00144000,SPY,2015-01-17,144,C,55.5,60.18,56,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00145000,SPY,2015-01-17,145,C,54.5,59.2,50.99,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00146000,SPY,2015-01-17,146,C,53.55,58.2,54.2,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00147000,SPY,2015-01-17,147,C,52.56,57.2,53.25,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00148000,SPY,2015-01-17,148,C,51.56,56.2,50,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00149000,SPY,2015-01-17,149,C,50.5,55.2,50.8,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00150000,SPY,2015-01-17,150,C,49.56,54.2,47,0,5,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00151000,SPY,2015-01-17,151,C,48.54,53.2,34.95,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00152000,SPY,2015-01-17,152,C,47.54,52.19,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00153000,SPY,2015-01-17,153,C,46.56,51.2,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00154000,SPY,2015-01-17,154,C,45.57,50.2,14.45,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00155000,SPY,2015-01-17,155,C,44.5,49.2,33.33,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00156000,SPY,2015-01-17,156,C,43.5,48.2,41.38,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00157000,SPY,2015-01-17,157,C,42.5,47.2,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00158000,SPY,2015-01-17,158,C,41.5,46.2,30,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00159000,SPY,2015-01-17,159,C,40.5,45.2,14.98,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00160000,SPY,2015-01-17,160,C,39.5,44.18,32.18,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00161000,SPY,2015-01-17,161,C,38.5,43.23,15.87,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00162000,SPY,2015-01-17,162,C,37.5,42.23,21.5,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00163000,SPY,2015-01-17,163,C,36.5,41.23,22,0,67,0.113826,0,0,0,0,0,7
